id,name,event_type,purse,winning_share,currency,points,start_date,end_date,course_timezone,status,seasons,coverage,venue,rounds,field
,,,,,,,,,,,,,,,"{'id': 'cb1856a9-b6ef-45ca-9ad7-9c02501f2481', 'first_name': 'Adam', 'last_name': 'Schenk', 'country': 'UNITED STATES', 'abbr_name': 'A.Schenk'}"
,,,,,,,,,,,,,,,"{'id': 'fa3c656a-7f3e-4931-ab19-5e07cc52c4f9', 'first_name': 'Alex', 'last_name': 'Smalley', 'country': 'UNITED STATES', 'abbr_name': 'A.Smalley'}"
,,,,,,,,,,,,,,,"{'id': '7fdc75ca-2c33-49b8-8738-a8ea06fb51ed', 'first_name': 'J.J.', 'last_name': 'Spaun', 'country': 'UNITED STATES', 'abbr_name': 'J.Spaun'}"
,,,,,,,,,,,,,,,"{'id': 'd28839e8-d9f0-483f-9932-227775cb78cf', 'first_name': 'Scott', 'last_name': 'Stallings', 'country': 'UNITED STATES', 'abbr_name': 'S.Stallings'}"
,,,,,,,,,,,,,,,"{'id': '5003f675-818b-410a-9f2e-1a860d152900', 'first_name': 'Brendan', 'last_name': 'Steele', 'country': 'UNITED STATES', 'abbr_name': 'B.Steele'}"
,,,,,,,,,,,,,,,"{'id': '502087cf-2c40-4e1d-9649-4f4e6d7d7778', 'first_name': 'Sepp', 'last_name': 'Straka', 'country': 'AUSTRIA', 'abbr_name': 'S.Straka'}"
,,,,,,,,,,,,,,,"{'id': '4f8a4f4d-8359-4187-b506-3da3ad5b05fb', 'first_name': 'Kevin', 'last_name': 'Streelman', 'country': 'UNITED STATES', 'abbr_name': 'K.Streelman'}"
,,,,,,,,,,,,,,,"{'id': 'f3dd1173-b81a-4048-abdb-34ae5bc06ed1', 'first_name': 'Adam', 'last_name': 'Svensson', 'country': 'CANADA', 'abbr_name': 'A.Svensson'}"
,,,,,,,,,,,,,,,"{'id': '25faf9c2-3b45-4630-aac8-d11229cde0a1', 'first_name': 'Sahith', 'last_name': 'Theegala', 'country': 'UNITED STATES', 'abbr_name': 'S.Theegala'}"
,,,,,,,,,,,,,,,"{'id': 'e607849b-2f2e-4c86-8eed-e0c34f5ca60d', 'first_name': 'Matt', 'last_name': 'Wallace', 'country': 'ENGLAND', 'abbr_name': 'M.Wallace'}"
,,,,,,,,,,,,,,,"{'id': 'e8448c58-d9af-4b4a-8238-4275cf7ab383', 'first_name': 'Brandon', 'last_name': 'Wu', 'country': 'UNITED STATES', 'abbr_name': 'B.Wu'}"
,,,,,,,,,,,,,,,"{'id': '9fbf091c-5e4b-42a4-93d7-92a6785a618d', 'first_name': 'Cameron', 'last_name': 'Young', 'country': 'UNITED STATES', 'abbr_name': 'C.Young'}"
,,,,,,,,,,,,,Chiba,,
,,,,,,,,,,,,,JPN,,
,,,,,,,,,,,,,"[{'id': 'b5472441-c89d-4afb-a793-7df1cd7710cd', 'name': 'Accordia Golf Narashino Country Club', 'yardage': 7079, 'par': 70, 'holes': [{'number': 1, 'par': 4, 'yardage': 405}, {'number': 2, 'par': 4, 'yardage': 363}, {'number': 3, 'par': 3, 'yardage': 180}, {'number': 4, 'par': 4, 'yardage': 505}, {'number': 5, 'par': 3, 'yardage': 205}, {'number': 6, 'par': 5, 'yardage': 587}, {'number': 7, 'par': 3, 'yardage': 167}, {'number': 8, 'par': 4, 'yardage': 395}, {'number': 9, 'par': 4, 'yardage': 486}, {'number': 10, 'par': 4, 'yardage': 400}, {'number': 11, 'par': 4, 'yardage': 486}, {'number': 12, 'par': 4, 'yardage': 490}, {'number': 13, 'par': 3, 'yardage': 141}, {'number': 14, 'par': 5, 'yardage': 608}, {'number': 15, 'par': 4, 'yardage': 425}, {'number': 16, 'par': 3, 'yardage': 183}, {'number': 17, 'par': 4, 'yardage': 491}, {'number': 18, 'par': 5, 'yardage': 562}]}]",,
,,,,,,,,,,,,,b2efd1bd-12e5-4dd2-941d-ba9f86f4fd78,,
,,,,,,,,,,,,,Accordia Golf Narashino Country Club,,
